Ticker,Number Of Shares to Buy,Market Cap,returns
OXY,295.0,61180301312.0,1.099418338710854
DVN,282.0,44657356800.0,0.9890506100449338
APA,493.0,12635077632.0,0.7996682785122022
MRO,735.0,16022863872.0,0.7936743477568016
MCK,56.0,50755375104.0,0.7873434582814391
MPC,185.0,53243068416.0,0.7427480386751496
CF,195.0,19955197952.0,0.7188837859287031
XOM,201.0,393342000000.0,0.7079297545685027
COP,172.0,145569000000.0,0.7004363003502891
VRTX,66.0,76422217728.0,0.6777023766567826
HRB,487.0,6510790656.0,0.67378288361313
VLO,169.0,45964476416.0,0.6207946183680797
EOG,158.0,72707670016.0,0.5968824109993991
UNM,487.0,8163999744.0,0.5714889466507722
CVX,126.0,306250000000.0,0.5600255083616164
HES,157.0,37930934272.0,0.5380103625371666
PXD,79.0,53534019584.0,0.5016693088191212
CAH,288.0,18208593920.0,0.4660323752336844
CTVA,325.0,42282373120.0,0.463517333185957
CI,68.0,88947408896.0,0.4623855335957341
DLTR,140.0,30307860480.0,0.4525844147335192
NLSN,716.0,9985353728.0,0.4491728670185269
LLY,60.0,311587000000.0,0.4429539514353034
LW,243.0,11266367488.0,0.4322983557566873
FANG,143.0,24000974848.0,0.4017300187621148
ADM,231.0,47796318208.0,0.3967143757163784
PGR,163.0,71908794368.0,0.3658497611497045
SLB,481.0,54920765440.0,0.3611420860798875
WRB,294.0,17988161536.0,0.3521811860797319
REGN,26.0,74582048768.0,0.3508205613792383
ABBV,139.0,250823000000.0,0.3457328244827092
AZO,8.0,40722812928.0,0.3336164214090565
ANET,164.0,36657508352.0,0.333077008693973
NOV,1084.0,6803330048.0,0.3261247314589021
UNH,37.0,485754000000.0,0.3192865827542479
MOS,391.0,17732913152.0,0.3043013808344218
GIS,257.0,46242390016.0,0.295045061801522
GPC,126.0,21978378240.0,0.2892811028297407
HSY,88.0,45325524992.0,0.2876029606798133
NOC,41.0,73264087040.0,0.2857050873300958
FMC,178.0,14147715072.0,0.2702845101016863
HAL,683.0,25022584832.0,0.2662746795714475
GWW,38.0,25490851840.0,0.2632975171596509
CNC,247.0,44744347648.0,0.2632483354157036
SRE,130.0,49235095552.0,0.2603744618187061
HUM,39.0,61482397696.0,0.2579829478249691
ALB,72.0,32930818048.0,0.253335643735921
MTB,107.0,32739717120.0,0.2432862407818507
BMY,279.0,152842000000.0,0.2389824279260793
PSX,215.0,42419077120.0,0.2197598519958523
